ID STAR;SGidSourceEnt
172783;UBFC_ADUM_ UBFC_99615
155262;UBFC_ADUM_ UBFC_99540
169869;UBFC_ADUM_ UBFC_99529
169706;UBFC_ADUM_ UBFC_99493
169674;UBFC_ADUM_ UBFC_99472
150736;UBFC_ADUM_ UBFC_99469
153974;UBFC_ADUM_ UBFC_99454
160292;UBFC_ADUM_ UBFC_99409
152380;UBFC_ADUM_ UBFC_99368
144079;UBFC_ADUM_ UBFC_99335
180445;UBFC_ADUM_ UBFC_99269
169022;UBFC_ADUM_ UBFC_99219
151926;UBFC_ADUM_ UBFC_99159
167047;UBFC_ADUM_ UBFC_99156
153766;UBFC_ADUM_ UBFC_99144
180543;UBFC_ADUM_ UBFC_99140
162054;UBFC_ADUM_ UBFC_98985
161434;UBFC_ADUM_ UBFC_98954
142516;UBFC_ADUM_ UBFC_98908
160083;UBFC_ADUM_ UBFC_98896
179202;UBFC_ADUM_ UBFC_98866
168802;UBFC_ADUM_ UBFC_98839
143674;UBFC_ADUM_ UBFC_98779
171121;UBFC_ADUM_ UBFC_98773
145550;UBFC_ADUM_ UBFC_98769
160576;UBFC_ADUM_ UBFC_98609
153712;UBFC_ADUM_ UBFC_98599
165120;UBFC_ADUM_ UBFC_98541
147375;UBFC_ADUM_ UBFC_98482
118181;UBFC_ADUM_ UBFC_98481
161438;UBFC_ADUM_ UBFC_98457
148725;UBFC_ADUM_ UBFC_98379
161072;UBFC_ADUM_ UBFC_98377
172844;UBFC_ADUM_ UBFC_98376
138319;UBFC_ADUM_ UBFC_98375
146199;UBFC_ADUM_ UBFC_98371
152529;UBFC_ADUM_ UBFC_98367
182830;UBFC_ADUM_ UBFC_98366
165461;UBFC_ADUM_ UBFC_98364
165671;UBFC_ADUM_ UBFC_98363
144283;UBFC_ADUM_ UBFC_98353
150440;UBFC_ADUM_ UBFC_98351
171790;UBFC_ADUM_ UBFC_98350
172058;UBFC_ADUM_ UBFC_98349
146357;UBFC_ADUM_ UBFC_98347
148914;UBFC_ADUM_ UBFC_98299
184381;UBFC_ADUM_ UBFC_98241
178862;UBFC_ADUM_ UBFC_98165
170148;UBFC_ADUM_ UBFC_98135
136273;UBFC_ADUM_ UBFC_98111
172124;UBFC_ADUM_ UBFC_98094
141736;UBFC_ADUM_ UBFC_98092
171148;UBFC_ADUM_ UBFC_98062
127518;UBFC_ADUM_ UBFC_98031
179038;UBFC_ADUM_ UBFC_98020
171053;UBFC_ADUM_ UBFC_98019
177588;UBFC_ADUM_ UBFC_98018
171015;UBFC_ADUM_ UBFC_98015
105494;UBFC_ADUM_ UBFC_98014
142611;UBFC_ADUM_ UBFC_98011
126479;UBFC_ADUM_ UBFC_98004
173703;UBFC_ADUM_ UBFC_97946
171469;UBFC_ADUM_ UBFC_97945
172521;UBFC_ADUM_ UBFC_97942
145523;UBFC_ADUM_ UBFC_97901
140991;UBFC_ADUM_ UBFC_97858
156433;UBFC_ADUM_ UBFC_97819
169854;UBFC_ADUM_ UBFC_97793
169884;UBFC_ADUM_ UBFC_97792
144242;UBFC_ADUM_ UBFC_97789
113203;UBFC_ADUM_ UBFC_97773
141448;UBFC_ADUM_ UBFC_97751
172846;UBFC_ADUM_ UBFC_97750
145024;UBFC_ADUM_ UBFC_97749
130422;UBFC_ADUM_ UBFC_97748
184081;UBFC_ADUM_ UBFC_97745
143092;UBFC_ADUM_ UBFC_97739
148541;UBFC_ADUM_ UBFC_97737
130473;UBFC_ADUM_ UBFC_97658
139862;UBFC_ADUM_ UBFC_97657
150929;UBFC_ADUM_ UBFC_97637
157920;UBFC_ADUM_ UBFC_97621
147127;UBFC_ADUM_ UBFC_97596
167165;UBFC_ADUM_ UBFC_97591
160463;UBFC_ADUM_ UBFC_97590
165183;UBFC_ADUM_ UBFC_97584
153189;UBFC_ADUM_ UBFC_97582
147148;UBFC_ADUM_ UBFC_97581
166930;UBFC_ADUM_ UBFC_97559
150956;UBFC_ADUM_ UBFC_97555
145627;UBFC_ADUM_ UBFC_97434
172036;UBFC_ADUM_ UBFC_97399
152392;UBFC_ADUM_ UBFC_97398
149850;UBFC_ADUM_ UBFC_97393
148929;UBFC_ADUM_ UBFC_97392
147475;UBFC_ADUM_ UBFC_97210
160379;UBFC_ADUM_ UBFC_97209
146439;UBFC_ADUM_ UBFC_97203
146322;UBFC_ADUM_ UBFC_97194
130623;UBFC_ADUM_ UBFC_97181
151918;UBFC_ADUM_ UBFC_96987
144974;UBFC_ADUM_ UBFC_96973
150141;UBFC_ADUM_ UBFC_96972
125719;UBFC_ADUM_ UBFC_96971
174937;UBFC_ADUM_ UBFC_96950
160350;UBFC_ADUM_ UBFC_96921
