IDSTEP;SGentreeIdSource;new
253792;UBFC_ADUM_ UBFC_127187;UBFC_ADUM_UBFC_127187
253297;UBFC_ADUM_ UBFC_126828;UBFC_ADUM_UBFC_126828
253296;UBFC_ADUM_ UBFC_126827;UBFC_ADUM_UBFC_126827
253059;UBFC_ADUM_ UBFC_126735;UBFC_ADUM_UBFC_126735
253079;UBFC_ADUM_ UBFC_126717;UBFC_ADUM_UBFC_126717
252863;UBFC_ADUM_ UBFC_126526;UBFC_ADUM_UBFC_126526
252707;UBFC_ADUM_ UBFC_126428;UBFC_ADUM_UBFC_126428
252706;UBFC_ADUM_ UBFC_126427;UBFC_ADUM_UBFC_126427
252615;UBFC_ADUM_ UBFC_126350;UBFC_ADUM_UBFC_126350
252613;UBFC_ADUM_ UBFC_126348;UBFC_ADUM_UBFC_126348
252612;UBFC_ADUM_ UBFC_126347;UBFC_ADUM_UBFC_126347
252606;UBFC_ADUM_ UBFC_126340;UBFC_ADUM_UBFC_126340
252497;UBFC_ADUM_ UBFC_126257;UBFC_ADUM_UBFC_126257
252485;UBFC_ADUM_ UBFC_126256;UBFC_ADUM_UBFC_126256
252484;UBFC_ADUM_ UBFC_126255;UBFC_ADUM_UBFC_126255
252481;UBFC_ADUM_ UBFC_126242;UBFC_ADUM_UBFC_126242
252414;UBFC_ADUM_ UBFC_126173;UBFC_ADUM_UBFC_126173
252413;UBFC_ADUM_ UBFC_126172;UBFC_ADUM_UBFC_126172
252410;UBFC_ADUM_ UBFC_126170;UBFC_ADUM_UBFC_126170
252407;UBFC_ADUM_ UBFC_126169;UBFC_ADUM_UBFC_126169
252405;UBFC_ADUM_ UBFC_126166;UBFC_ADUM_UBFC_126166
252375;UBFC_ADUM_ UBFC_126165;UBFC_ADUM_UBFC_126165
252403;UBFC_ADUM_ UBFC_126164;UBFC_ADUM_UBFC_126164
252402;UBFC_ADUM_ UBFC_126163;UBFC_ADUM_UBFC_126163
252401;UBFC_ADUM_ UBFC_126162;UBFC_ADUM_UBFC_126162
252309;UBFC_ADUM_ UBFC_126116;UBFC_ADUM_UBFC_126116
251913;UBFC_ADUM_ UBFC_125803;UBFC_ADUM_UBFC_125803
251912;UBFC_ADUM_ UBFC_125801;UBFC_ADUM_UBFC_125801
251765;UBFC_ADUM_ UBFC_125686;UBFC_ADUM_UBFC_125686
251744;UBFC_ADUM_ UBFC_125659;UBFC_ADUM_UBFC_125659
251743;UBFC_ADUM_ UBFC_125658;UBFC_ADUM_UBFC_125658
251742;UBFC_ADUM_ UBFC_125657;UBFC_ADUM_UBFC_125657
251741;UBFC_ADUM_ UBFC_125656;UBFC_ADUM_UBFC_125656
251740;UBFC_ADUM_ UBFC_125655;UBFC_ADUM_UBFC_125655
251739;UBFC_ADUM_ UBFC_125654;UBFC_ADUM_UBFC_125654
251737;UBFC_ADUM_ UBFC_125653;UBFC_ADUM_UBFC_125653
251687;UBFC_ADUM_ UBFC_125641;UBFC_ADUM_UBFC_125641
251647;UBFC_ADUM_ UBFC_125617;UBFC_ADUM_UBFC_125617
251480;UBFC_ADUM_ UBFC_125543;UBFC_ADUM_UBFC_125543
251352;UBFC_ADUM_ UBFC_125436;UBFC_ADUM_UBFC_125436
251225;UBFC_ADUM_ UBFC_125335;UBFC_ADUM_UBFC_125335
251277;UBFC_ADUM_ UBFC_125334;UBFC_ADUM_UBFC_125334
251269;UBFC_ADUM_ UBFC_125311;UBFC_ADUM_UBFC_125311
251215;UBFC_ADUM_ UBFC_125302;UBFC_ADUM_UBFC_125302
249124;UBFC_ADUM_ UBFC_125268;UBFC_ADUM_UBFC_125268
248627;UBFC_ADUM_ UBFC_125261;UBFC_ADUM_UBFC_125261
248626;UBFC_ADUM_ UBFC_125260;UBFC_ADUM_UBFC_125260
248618;UBFC_ADUM_ UBFC_125241;UBFC_ADUM_UBFC_125241
248512;UBFC_ADUM_ UBFC_125195;UBFC_ADUM_UBFC_125195
248470;UBFC_ADUM_ UBFC_125175;UBFC_ADUM_UBFC_125175
248296;UBFC_ADUM_ UBFC_125078;UBFC_ADUM_UBFC_125078
248204;UBFC_ADUM_ UBFC_125038;UBFC_ADUM_UBFC_125038
247988;UBFC_ADUM_ UBFC_124924;UBFC_ADUM_UBFC_124924
247976;UBFC_ADUM_ UBFC_124920;UBFC_ADUM_UBFC_124920
247973;UBFC_ADUM_ UBFC_124914;UBFC_ADUM_UBFC_124914
247913;UBFC_ADUM_ UBFC_124879;UBFC_ADUM_UBFC_124879
247910;UBFC_ADUM_ UBFC_124873;UBFC_ADUM_UBFC_124873
247895;UBFC_ADUM_ UBFC_124872;UBFC_ADUM_UBFC_124872
247894;UBFC_ADUM_ UBFC_124870;UBFC_ADUM_UBFC_124870
247747;UBFC_ADUM_ UBFC_124797;UBFC_ADUM_UBFC_124797
247746;UBFC_ADUM_ UBFC_124796;UBFC_ADUM_UBFC_124796
247715;UBFC_ADUM_ UBFC_124769;UBFC_ADUM_UBFC_124769
247639;UBFC_ADUM_ UBFC_124742;UBFC_ADUM_UBFC_124742
247656;UBFC_ADUM_ UBFC_124741;UBFC_ADUM_UBFC_124741
247655;UBFC_ADUM_ UBFC_124740;UBFC_ADUM_UBFC_124740
298683;UBFC_ADUM_ UBFC_124736;UBFC_ADUM_UBFC_124736
247611;UBFC_ADUM_ UBFC_124714;UBFC_ADUM_UBFC_124714
247604;UBFC_ADUM_ UBFC_124708;UBFC_ADUM_UBFC_124708
247601;UBFC_ADUM_ UBFC_124704;UBFC_ADUM_UBFC_124704
247600;UBFC_ADUM_ UBFC_124703;UBFC_ADUM_UBFC_124703
247599;UBFC_ADUM_ UBFC_124702;UBFC_ADUM_UBFC_124702
247597;UBFC_ADUM_ UBFC_124700;UBFC_ADUM_UBFC_124700
247588;UBFC_ADUM_ UBFC_124689;UBFC_ADUM_UBFC_124689
247587;UBFC_ADUM_ UBFC_124688;UBFC_ADUM_UBFC_124688
247541;UBFC_ADUM_ UBFC_124657;UBFC_ADUM_UBFC_124657
247537;UBFC_ADUM_ UBFC_124644;UBFC_ADUM_UBFC_124644
247530;UBFC_ADUM_ UBFC_124639;UBFC_ADUM_UBFC_124639
247525;UBFC_ADUM_ UBFC_124632;UBFC_ADUM_UBFC_124632
247438;UBFC_ADUM_ UBFC_124545;UBFC_ADUM_UBFC_124545
247437;UBFC_ADUM_ UBFC_124543;UBFC_ADUM_UBFC_124543
247422;UBFC_ADUM_ UBFC_124542;UBFC_ADUM_UBFC_124542
259433;UBFC_ADUM_ UBFC_124539;UBFC_ADUM_UBFC_124539
247227;UBFC_ADUM_ UBFC_124455;UBFC_ADUM_UBFC_124455
247140;UBFC_ADUM_ UBFC_124320;UBFC_ADUM_UBFC_124320
247112;UBFC_ADUM_ UBFC_124305;UBFC_ADUM_UBFC_124305
247111;UBFC_ADUM_ UBFC_124301;UBFC_ADUM_UBFC_124301
247092;UBFC_ADUM_ UBFC_124289;UBFC_ADUM_UBFC_124289
247107;UBFC_ADUM_ UBFC_124287;UBFC_ADUM_UBFC_124287
247090;UBFC_ADUM_ UBFC_124286;UBFC_ADUM_UBFC_124286
247104;UBFC_ADUM_ UBFC_124280;UBFC_ADUM_UBFC_124280
247020;UBFC_ADUM_ UBFC_124234;UBFC_ADUM_UBFC_124234
247019;UBFC_ADUM_ UBFC_124232;UBFC_ADUM_UBFC_124232
247004;UBFC_ADUM_ UBFC_124231;UBFC_ADUM_UBFC_124231
247018;UBFC_ADUM_ UBFC_124230;UBFC_ADUM_UBFC_124230
247003;UBFC_ADUM_ UBFC_124229;UBFC_ADUM_UBFC_124229
247002;UBFC_ADUM_ UBFC_124228;UBFC_ADUM_UBFC_124228
247017;UBFC_ADUM_ UBFC_124227;UBFC_ADUM_UBFC_124227
246956;UBFC_ADUM_ UBFC_124226;UBFC_ADUM_UBFC_124226
247001;UBFC_ADUM_ UBFC_124225;UBFC_ADUM_UBFC_124225
247000;UBFC_ADUM_ UBFC_124224;UBFC_ADUM_UBFC_124224
246955;UBFC_ADUM_ UBFC_124222;UBFC_ADUM_UBFC_124222
246998;UBFC_ADUM_ UBFC_124221;UBFC_ADUM_UBFC_124221
246953;UBFC_ADUM_ UBFC_124220;UBFC_ADUM_UBFC_124220
247477;UBFC_ADUM_ UBFC_124197;UBFC_ADUM_UBFC_124197
246802;UBFC_ADUM_ UBFC_124062;UBFC_ADUM_UBFC_124062
246738;UBFC_ADUM_ UBFC_123977;UBFC_ADUM_UBFC_123977
246732;UBFC_ADUM_ UBFC_123971;UBFC_ADUM_UBFC_123971
246731;UBFC_ADUM_ UBFC_123970;UBFC_ADUM_UBFC_123970
246608;UBFC_ADUM_ UBFC_123866;UBFC_ADUM_UBFC_123866
246492;UBFC_ADUM_ UBFC_123865;UBFC_ADUM_UBFC_123865
246273;UBFC_ADUM_ UBFC_123815;UBFC_ADUM_UBFC_123815
246235;UBFC_ADUM_ UBFC_123793;UBFC_ADUM_UBFC_123793
298021;UBFC_ADUM_ UBFC_123714;UBFC_ADUM_UBFC_123714
246123;UBFC_ADUM_ UBFC_123713;UBFC_ADUM_UBFC_123713
246128;UBFC_ADUM_ UBFC_123712;UBFC_ADUM_UBFC_123712
246127;UBFC_ADUM_ UBFC_123711;UBFC_ADUM_UBFC_123711
246111;UBFC_ADUM_ UBFC_123677;UBFC_ADUM_UBFC_123677
246079;UBFC_ADUM_ UBFC_123646;UBFC_ADUM_UBFC_123646
246076;UBFC_ADUM_ UBFC_123632;UBFC_ADUM_UBFC_123632
246030;UBFC_ADUM_ UBFC_123604;UBFC_ADUM_UBFC_123604
245966;UBFC_ADUM_ UBFC_123547;UBFC_ADUM_UBFC_123547
245965;UBFC_ADUM_ UBFC_123546;UBFC_ADUM_UBFC_123546
245834;UBFC_ADUM_ UBFC_123426;UBFC_ADUM_UBFC_123426
245763;UBFC_ADUM_ UBFC_123397;UBFC_ADUM_UBFC_123397
245780;UBFC_ADUM_ UBFC_123394;UBFC_ADUM_UBFC_123394
245754;UBFC_ADUM_ UBFC_123383;UBFC_ADUM_UBFC_123383
245732;UBFC_ADUM_ UBFC_123362;UBFC_ADUM_UBFC_123362
245716;UBFC_ADUM_ UBFC_123347;UBFC_ADUM_UBFC_123347
245687;UBFC_ADUM_ UBFC_123342;UBFC_ADUM_UBFC_123342
245507;UBFC_ADUM_ UBFC_123239;UBFC_ADUM_UBFC_123239
245448;UBFC_ADUM_ UBFC_123221;UBFC_ADUM_UBFC_123221
245456;UBFC_ADUM_ UBFC_123209;UBFC_ADUM_UBFC_123209
245443;UBFC_ADUM_ UBFC_123204;UBFC_ADUM_UBFC_123204
245387;UBFC_ADUM_ UBFC_123175;UBFC_ADUM_UBFC_123175
245404;UBFC_ADUM_ UBFC_123174;UBFC_ADUM_UBFC_123174
245403;UBFC_ADUM_ UBFC_123173;UBFC_ADUM_UBFC_123173
299342;UBFC_ADUM_ UBFC_123172;UBFC_ADUM_UBFC_123172
245313;UBFC_ADUM_ UBFC_123126;UBFC_ADUM_UBFC_123126
244811;UBFC_ADUM_ UBFC_122924;UBFC_ADUM_UBFC_122924
244579;UBFC_ADUM_ UBFC_122871;UBFC_ADUM_UBFC_122871
244578;UBFC_ADUM_ UBFC_122870;UBFC_ADUM_UBFC_122870
244426;UBFC_ADUM_ UBFC_122852;UBFC_ADUM_UBFC_122852
244425;UBFC_ADUM_ UBFC_122851;UBFC_ADUM_UBFC_122851
244424;UBFC_ADUM_ UBFC_122850;UBFC_ADUM_UBFC_122850
251479;UBFC_ADUM_ UBFC_122843;UBFC_ADUM_UBFC_122843
244391;UBFC_ADUM_ UBFC_122842;UBFC_ADUM_UBFC_122842
244390;UBFC_ADUM_ UBFC_122840;UBFC_ADUM_UBFC_122840
244389;UBFC_ADUM_ UBFC_122839;UBFC_ADUM_UBFC_122839
242862;UBFC_ADUM_ UBFC_122613;UBFC_ADUM_UBFC_122613
242882;UBFC_ADUM_ UBFC_122612;UBFC_ADUM_UBFC_122612
242858;UBFC_ADUM_ UBFC_122592;UBFC_ADUM_UBFC_122592
242877;UBFC_ADUM_ UBFC_122591;UBFC_ADUM_UBFC_122591
242352;UBFC_ADUM_ UBFC_122414;UBFC_ADUM_UBFC_122414
242052;UBFC_ADUM_ UBFC_122207;UBFC_ADUM_UBFC_122207
241977;UBFC_ADUM_ UBFC_122182;UBFC_ADUM_UBFC_122182
241880;UBFC_ADUM_ UBFC_122158;UBFC_ADUM_UBFC_122158
241873;UBFC_ADUM_ UBFC_122152;UBFC_ADUM_UBFC_122152
244728;UBFC_ADUM_ UBFC_122144;UBFC_ADUM_UBFC_122144
262291;UBFC_ADUM_ UBFC_121774;UBFC_ADUM_UBFC_121774
239490;UBFC_ADUM_ UBFC_121703;UBFC_ADUM_UBFC_121703
239382;UBFC_ADUM_ UBFC_121613;UBFC_ADUM_UBFC_121613
239379;UBFC_ADUM_ UBFC_121604;UBFC_ADUM_UBFC_121604
239173;UBFC_ADUM_ UBFC_121498;UBFC_ADUM_UBFC_121498
257688;UBFC_ADUM_ UBFC_121497;UBFC_ADUM_UBFC_121497
239091;UBFC_ADUM_ UBFC_121458;UBFC_ADUM_UBFC_121458
239088;UBFC_ADUM_ UBFC_121452;UBFC_ADUM_UBFC_121452
238567;UBFC_ADUM_ UBFC_121407;UBFC_ADUM_UBFC_121407
238478;UBFC_ADUM_ UBFC_121360;UBFC_ADUM_UBFC_121360
238483;UBFC_ADUM_ UBFC_121359;UBFC_ADUM_UBFC_121359
238266;UBFC_ADUM_ UBFC_121256;UBFC_ADUM_UBFC_121256
238263;UBFC_ADUM_ UBFC_121255;UBFC_ADUM_UBFC_121255
238181;UBFC_ADUM_ UBFC_121234;UBFC_ADUM_UBFC_121234
306613;UBFC_ADUM_ UBFC_121232;UBFC_ADUM_UBFC_121232
238180;UBFC_ADUM_ UBFC_121231;UBFC_ADUM_UBFC_121231
238179;UBFC_ADUM_ UBFC_121230;UBFC_ADUM_UBFC_121230
238178;UBFC_ADUM_ UBFC_121229;UBFC_ADUM_UBFC_121229
238162;UBFC_ADUM_ UBFC_121228;UBFC_ADUM_UBFC_121228
238177;UBFC_ADUM_ UBFC_121227;UBFC_ADUM_UBFC_121227
257837;UBFC_ADUM_ UBFC_121226;UBFC_ADUM_UBFC_121226
238155;UBFC_ADUM_ UBFC_121224;UBFC_ADUM_UBFC_121224
238168;UBFC_ADUM_ UBFC_121223;UBFC_ADUM_UBFC_121223
238153;UBFC_ADUM_ UBFC_121222;UBFC_ADUM_UBFC_121222
247123;UBFC_ADUM_ UBFC_121219;UBFC_ADUM_UBFC_121219
238149;UBFC_ADUM_ UBFC_121218;UBFC_ADUM_UBFC_121218
238165;UBFC_ADUM_ UBFC_121217;UBFC_ADUM_UBFC_121217
238164;UBFC_ADUM_ UBFC_121216;UBFC_ADUM_UBFC_121216
237673;UBFC_ADUM_ UBFC_121110;UBFC_ADUM_UBFC_121110
237629;UBFC_ADUM_ UBFC_121096;UBFC_ADUM_UBFC_121096
237181;UBFC_ADUM_ UBFC_120918;UBFC_ADUM_UBFC_120918
237117;UBFC_ADUM_ UBFC_120891;UBFC_ADUM_UBFC_120891
237082;UBFC_ADUM_ UBFC_120881;UBFC_ADUM_UBFC_120881
236945;UBFC_ADUM_ UBFC_120823;UBFC_ADUM_UBFC_120823
247091;UBFC_ADUM_ UBFC_120767;UBFC_ADUM_UBFC_120767
236861;UBFC_ADUM_ UBFC_120766;UBFC_ADUM_UBFC_120766
236824;UBFC_ADUM_ UBFC_120752;UBFC_ADUM_UBFC_120752
236655;UBFC_ADUM_ UBFC_120694;UBFC_ADUM_UBFC_120694
256000;UBFC_ADUM_ UBFC_120693;UBFC_ADUM_UBFC_120693
236646;UBFC_ADUM_ UBFC_120689;UBFC_ADUM_UBFC_120689
236644;UBFC_ADUM_ UBFC_120687;UBFC_ADUM_UBFC_120687
236607;UBFC_ADUM_ UBFC_120684;UBFC_ADUM_UBFC_120684
236405;UBFC_ADUM_ UBFC_120624;UBFC_ADUM_UBFC_120624
236137;UBFC_ADUM_ UBFC_120408;UBFC_ADUM_UBFC_120408
252374;UBFC_ADUM_ UBFC_120282;UBFC_ADUM_UBFC_120282
235997;UBFC_ADUM_ UBFC_120227;UBFC_ADUM_UBFC_120227
235980;UBFC_ADUM_ UBFC_120225;UBFC_ADUM_UBFC_120225
235979;UBFC_ADUM_ UBFC_120221;UBFC_ADUM_UBFC_120221
235973;UBFC_ADUM_ UBFC_120210;UBFC_ADUM_UBFC_120210
245133;UBFC_ADUM_ UBFC_120208;UBFC_ADUM_UBFC_120208
235994;UBFC_ADUM_ UBFC_120207;UBFC_ADUM_UBFC_120207
235992;UBFC_ADUM_ UBFC_120204;UBFC_ADUM_UBFC_120204
235970;UBFC_ADUM_ UBFC_120203;UBFC_ADUM_UBFC_120203
235990;UBFC_ADUM_ UBFC_120202;UBFC_ADUM_UBFC_120202
235968;UBFC_ADUM_ UBFC_120200;UBFC_ADUM_UBFC_120200
261966;UBFC_ADUM_ UBFC_120198;UBFC_ADUM_UBFC_120198
235989;UBFC_ADUM_ UBFC_120197;UBFC_ADUM_UBFC_120197
235768;UBFC_ADUM_ UBFC_120113;UBFC_ADUM_UBFC_120113
235731;UBFC_ADUM_ UBFC_120073;UBFC_ADUM_UBFC_120073
235312;UBFC_ADUM_ UBFC_119976;UBFC_ADUM_UBFC_119976
235027;UBFC_ADUM_ UBFC_119940;UBFC_ADUM_UBFC_119940
234961;UBFC_ADUM_ UBFC_119882;UBFC_ADUM_UBFC_119882
234875;UBFC_ADUM_ UBFC_119829;UBFC_ADUM_UBFC_119829
234913;UBFC_ADUM_ UBFC_119828;UBFC_ADUM_UBFC_119828
