ID STEP,statut,date
65467,abandon,31/08/2007
13404,abandon,31/08/2007
27187,abandon,31/08/2011
63857,abandon,31/08/2011
44159,abandon,31/08/2011
32743,abandon,31/08/2011
61032,abandon,31/08/2011
76495,abandon,31/08/2012
71273,abandon,31/08/2012
74321,abandon,31/08/2013
96198,abandon,31/08/2016
64905,abandon,31/08/2016
129177,abandon,31/08/2016
77202,abandon,31/08/2016
151766,abandon,31/08/2016
123616,abandon,31/08/2016
143977,abandon,31/08/2016
128281,abandon,31/08/2016
98954,abandon,31/08/2016
103250,abandon,31/08/2016
51458,abandon,31/08/2016
130122,abandon,31/08/2016
98812,abandon,31/08/2016
145973,abandon,31/08/2016
147194,abandon,31/08/2016
74597,abandon,31/08/2016
49192,abandon,31/08/2016
98581,abandon,31/08/2016
121645,abandon,31/08/2016
140866,abandon,31/08/2016
147020,abandon,31/08/2016
146325,abandon,31/08/2016
73328,abandon,31/08/2016
98344,abandon,31/08/2016
122558,abandon,31/08/2016
123603,abandon,31/08/2016
35371,abandon,31/08/2017
144749,abandon,31/08/2017
163176,abandon,31/08/2017
168946,abandon,31/08/2017
146338,abandon,31/08/2017
125505,abandon,31/08/2017
144709,abandon,31/08/2017
103983,abandon,31/08/2017
145173,abandon,31/08/2017
127606,abandon,31/08/2017
122564,abandon,31/08/2017
169257,abandon,31/08/2017
167272,abandon,31/08/2017
166356,abandon,31/08/2017
144919,abandon,31/08/2017
135748,abandon,31/08/2017
166365,abandon,31/08/2017
150581,abandon,31/08/2017
144914,abandon,31/08/2017
162457,abandon,31/08/2018
74814,abandon,31/08/2018
100286,abandon,31/08/2018
197312,abandon,31/08/2018
74584,abandon,31/08/2018
145587,abandon,31/08/2018
145256,abandon,31/08/2018
153700,abandon,31/08/2018
85199,abandon,31/08/2018
197290,abandon,31/08/2018
147026,abandon,31/08/2018
120744,abandon,31/08/2018
181157,abandon,31/08/2018
144771,abandon,31/08/2018
131364,abandon,31/08/2018
204532,abandon,31/08/2018
151972,abandon,31/08/2018
131391,abandon,31/08/2018
99110,abandon,31/08/2018
166745,abandon,31/08/2018
85129,abandon,31/08/2018
66931,abandon,31/08/2018
174420,abandon,31/08/2018
147018,abandon,31/08/2018
132212,abandon,31/08/2018
112040,abandon,31/08/2018
101457,abandon,31/08/2018
122438,abandon,31/08/2018
207515,abandon,31/08/2019
188789,abandon,31/08/2019
119520,abandon,31/08/2019
145758,abandon,31/08/2019
119547,abandon,31/08/2019
144780,abandon,31/08/2019
151667,abandon,31/08/2019
115114,abandon,31/08/2019
144747,abandon,31/08/2019
41178,abandon,31/08/2019
208993,abandon,31/08/2019
98585,abandon,31/08/2019
98609,abandon,31/08/2019
167993,abandon,31/08/2019
158232,abandon,31/08/2019
135538,abandon,31/08/2019
144347,abandon,31/08/2019
166242,abandon,31/08/2019
192285,abandon,31/08/2019
219613,abandon,31/08/2019
163463,abandon,31/08/2019
121853,abandon,31/08/2019
194335,abandon,31/08/2019
191425,abandon,31/08/2019
195469,abandon,31/08/2019
194977,abandon,31/08/2019
144061,abandon,31/08/2019
129809,abandon,31/08/2019
166990,abandon,31/08/2019
216148,abandon,31/08/2019
191427,abandon,31/08/2019
140002,abandon,31/08/2019
117840,abandon,31/08/2019
147007,abandon,31/08/2020
123893,abandon,31/08/2020
136166,abandon,31/08/2020
177986,abandon,31/08/2020
143610,abandon,31/08/2020
123851,abandon,31/08/2020
197451,abandon,31/08/2020
123896,abandon,31/08/2020
233512,abandon,31/08/2020
238043,abandon,31/08/2020
168981,abandon,31/08/2020
221431,abandon,31/08/2020
174656,abandon,31/08/2020
233739,abandon,31/08/2020
190979,abandon,31/08/2020
165414,abandon,31/08/2020
176372,abandon,31/08/2020
193106,abandon,31/08/2020
221019,abandon,31/08/2020
143641,abandon,31/08/2020
220913,abandon,31/08/2020
222362,abandon,31/08/2020
194319,abandon,31/08/2020
144753,abandon,31/08/2020
228331,abandon,31/08/2020
120721,abandon,31/08/2020
188675,abandon,31/08/2020
82366,abandon,31/08/2020
278940,abandon,31/08/2021
339586,abandon,31/08/2021
196192,abandon,31/08/2021
163155,abandon,31/08/2021
202684,abandon,31/08/2021
236354,abandon,31/08/2021
112019,abandon,31/08/2021
219455,abandon,31/08/2021
216736,abandon,31/08/2021
238479,abandon,31/08/2021
158230,abandon,31/08/2021
199520,abandon,31/08/2021
258132,abandon,31/08/2021
268638,abandon,31/08/2021
201327,abandon,31/08/2021
340695,abandon,31/08/2021
241895,abandon,31/08/2021
143714,abandon,31/08/2021
119551,abandon,31/08/2021
204637,abandon,31/08/2021
166726,abandon,31/08/2021
219612,abandon,31/08/2021
222384,abandon,31/08/2021
160480,abandon,31/08/2021
190972,abandon,31/08/2021
221100,abandon,31/08/2021
278906,abandon,31/08/2022
258352,abandon,31/08/2022
338923,abandon,31/08/2022
260586,abandon,31/08/2022
321346,abandon,31/08/2022
174416,abandon,31/08/2022
225585,abandon,31/08/2022
163053,abandon,31/08/2022
233392,abandon,31/08/2022
295949,abandon,31/08/2022
165589,abandon,31/08/2022
169476,abandon,31/08/2022
153513,abandon,31/08/2022
322224,abandon,31/08/2023
