IDSTAR;ID STEP;NNT;numeroPAC;SGindicCines;dateCines;etat;etatWF;SCOL etat;BIBL etat;FICH etat;VALID etat
175791;129626;2021INAL0030;1443202;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
180881;129761;2021LYSE1336;1443007;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
188721;130181;2022REN20019;1443179;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
127399;131256;2019ANGE0027;1443010;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
179080;138415;2021LYSE2101;1443174;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
171714;142916;2021AIXM0336;1443146;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
177797;153457;2022AIXM0008;1443162;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
169213;153603;2021AIXM0328;1443149;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
188674;161183;2022SORUL016;1443187;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
187940;162759;2021SORUL171;1443185;OK;2022-09-20T00:00:01Z;"etat=""WFpostArchivage""";"<workflow etatWF=""postAtraiter"">";"SCOL etatMD=""postAtraiter""";"<BIBL etatMD=""postAtraiter""";"<FICH etatMD=""postAtraiter""";"etatVALID=""archivee"""
