ID STAR;ID STEP;NNT;stepEtat;NNT
175791;129626;2021INAL0030;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021INAL0030</nnt>"
180881;129761;2021LYSE1336;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021LYSE1336</nnt>"
188721;130181;2022REN20019;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022REN20019</nnt>"
127399;131256;2019ANGE0027;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2019ANGE0027</nnt>"
179080;138415;2021LYSE2101;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021LYSE2101</nnt>"
171714;142916;2021AIXM0336;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021AIXM0336</nnt>"
177797;153457;2022AIXM0008;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022AIXM0008</nnt>"
169213;153603;2021AIXM0328;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021AIXM0328</nnt>"
188674;161183;2022SORUL016;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2022SORUL016</nnt>"
187940;162759;2021SORUL171;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021SORUL171</nnt>"
121655;162929;2021AIXM0598;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021AIXM0598</nnt>"
126870;167844;2021BRES0107;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021BRES0107</nnt>"
177573;170482;2021AIXM0564;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021AIXM0564</nnt>"
175312;175275;2021AIXM0644;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021AIXM0644</nnt>"
174964;175276;2021AIXM0600;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021AIXM0600</nnt>"
180366;176239;2021LYSES042;"stepEtat=""these""";"<nnt dateNnt=""2022-09-20T00:00:01Z"" sourceNnt=""star"" indicNnt=""OK"" trace="""">2021LYSES042</nnt>"
